Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/8b460301-23d9-4b66-ad9c-689261a98f57
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/6385da82-68f9-43cc-8303-98c26ad8f2ad
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/01000476-1944-4169-ac41-6df65b4e00f2
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/2aeeb378-9ffa-4bf4-b86d-6ead8a94d3f0
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/2aeeb378-9ffa-4bf4-b86d-6ead8a94d3f0
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2/services/2aeeb378-9ffa-4bf4-b86d-6ead8a94d3f0
