Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/803c9ec4-549b-4f77-87ff-559fc47b3df2
7,11:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/00ff8483-e608-44a3-a06d-9579b8dbcfaf
7,11:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/7600e1c8-9a95-4024-85ab-7b74ba91a2e8
