Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
7,12:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
1,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
2,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
3,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
4,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
5,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
6,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/f5a57412-ba3a-4428-b18f-75c1cb7ad706
7,12:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/daad53e6-65d3-430f-97bc-84ee6d8d1fd0
1,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/daad53e6-65d3-430f-97bc-84ee6d8d1fd0
2,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/daad53e6-65d3-430f-97bc-84ee6d8d1fd0
3,11:00:00,19:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/aadbcbb6-5ada-4573-8ee0-c154e7465060/services/daad53e6-65d3-430f-97bc-84ee6d8d1fd0
