Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
7,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
1,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
2,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
3,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
4,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
5,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
6,12:00:00,20:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/de090d6b-42ce-4121-8e0a-f12754a1cedd
7,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
1,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
2,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
3,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
4,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
5,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
6,12:00:00,20:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/4f19f95e-5514-4b27-9737-0c8d2ec97b04
7,11:00:00,18:00:00,true,America/New_York,/organizations/04f3705c-3d08-4381-a4e8-4e34525058bb/locations/21d73cc1-64e6-4ffb-a6e9-fe426bb2a785/services/8866915d-8c5a-4437-92d5-fcda31509f38
