Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
2,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
1,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
3,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
5,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
6,11:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
4,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
7,13:00:00,17:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/445dc0f2-5e31-4293-acac-64992debe41e
2,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
1,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
3,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
5,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
6,11:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
4,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
7,13:00:00,17:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/4bad1f16-1fb1-4dc2-89d8-717b69732697
2,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
1,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
3,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
5,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
6,11:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
4,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
7,13:00:00,17:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/110417bb-55e4-4053-8dce-1c8cecc3a8fd
2,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/dbeeb65e-57d1-4a64-a671-611728095252
1,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/dbeeb65e-57d1-4a64-a671-611728095252
3,11:00:00,19:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/bbcb5e28-c1ba-4d14-967a-8f52cb11f61d/services/dbeeb65e-57d1-4a64-a671-611728095252
