Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
7,12:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
1,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
2,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
3,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
4,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
5,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
6,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
7,12:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
1,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
2,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
3,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
4,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
5,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
6,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/b4ea492f-ceb9-4456-a0e0-e54548ce5e18
7,12:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
1,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
2,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
3,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
4,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
5,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
6,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/4762adc3-7600-4511-8c74-5e2292f18770
7,12:00:00,18:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
1,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
2,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
3,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
4,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
5,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
6,10:00:00,20:00:00,true,America/New_York,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/7f8e1139-7802-41d2-bf7b-af2b2f48f64d/services/742d054e-29e7-42a3-8ff8-926f583d6261
7,12:00:00,18:00:00,true,America/Edmonton,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/a834b321-561d-4f79-b11f-7c64528be010/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
1,10:00:00,18:00:00,true,America/Edmonton,/organizations/e73c0caf-3887-4127-9508-445d1c0e5550/locations/a834b321-561d-4f79-b11f-7c64528be010/services/198af480-6dcb-4c9c-9ea8-ba4d03c75d2f
