Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
4,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
6,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
7,12:00:00,19:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
5,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
2,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
3,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
1,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
2,11:00:00,21:30:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
6,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
1,11:00:00,21:30:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
5,11:00:00,21:30:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
3,11:00:00,21:30:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
4,11:00:00,21:30:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
7,12:00:00,19:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/87d65744-721b-49a2-bb5f-b946ab890515/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
7,12:00:00,18:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5d0daa6f-ee81-4c29-8437-2c5aa2fcf446/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
5,11:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5d0daa6f-ee81-4c29-8437-2c5aa2fcf446/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
1,11:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5d0daa6f-ee81-4c29-8437-2c5aa2fcf446/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
6,11:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5d0daa6f-ee81-4c29-8437-2c5aa2fcf446/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
2,11:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5d0daa6f-ee81-4c29-8437-2c5aa2fcf446/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
3,11:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5d0daa6f-ee81-4c29-8437-2c5aa2fcf446/services/80e0a27d-fe41-47c9-a8d4-493638788a8d
