number,feature_ids
0016,688
0018,688
0030,688
0041,688
0054,688
0065,688
0068,688
0069,688
0073,688
0074,688
0099,688
0100,688
0120,688
0130,688
0153,688
0159,688
0160,688
0165,688
0170,688
0171,688
0180,688
0184,688
0201,688
0204,688
0206,688
0212,688
0213,688
0218,688
0220,688
0233,688
0235,688
0269,688
0287,688
0294,688
0308,688
0359,688
0360,688
0389,688
0391,688
0392,688
0399,688
0410,688
0414,688
0417,688
0430,688
0441,688
0449,688
0457,688
0477,688
0485,688
0508,688
0522,688
0615,688
0626,688
0627,688
0628,688
0631,688
0634,688
0660,688
0677,688
0700,688
0711,688
0717,688
0780,688
0785,688
0798,688
0837,688
0845,688
0851,688
0852,688
0862,688
0864,688
0866,688
0880,688
0886,688
0898,688
0920,688
0921,688
0929,688
0938,688
0941,688
0953,688
0967,688
1027,688
1055,688
1142,688
1146,688
1165,688
1170,688
1241,688
1242,688
1413,688
1838,688
1846,688
1849,688
