number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0009,d41ae953-5ba6-40f8-92dc-0779e31d36f8,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0012,87d65744-721b-49a2-bb5f-b946ab890515,America/Los_Angeles,11:00,20:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:00
0013,5d0daa6f-ee81-4c29-8437-2c5aa2fcf446,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0014,b3620c87-2c73-4df9-a480-2a6ac147d98d,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0015,29b578fd-38a1-4b7f-9019-60099c74e0ee,America/Chicago,12:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0016,fd371d28-e0b1-405f-9fc7-c5c740e5eb96,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0017,1b0ffb2a-cdd8-4f44-a399-39dc31c83174,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0018,2c042b16-bb5e-4ad6-9b2c-1f3e889b4917,America/New_York,11:00,20:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0019,2efaca8e-f681-47d2-96c3-751a8350672c,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0020,c8f3d351-ed72-4b07-9998-efa4a51cfd26,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0021,8e76200b-6320-4561-926a-c62b1dc7cd10,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0022,988baecb-e3c1-41b5-a875-8836e437781b,America/Phoenix,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0023,105074ea-15da-4a4b-a2a5-86d7c569ab6d,America/Los_Angeles,11:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0024,ea8896aa-0c17-48c8-a617-7a997a2aa953,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0025,fea9a241-d55f-4c04-a501-bee96744652b,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,20:00
0026,8697f8ef-91ad-4461-8abd-2e432b738840,America/Chicago,12:30,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0027,972a941e-fdf6-4e17-a878-c9e037b0ad3e,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0028,8a7f99e1-76e3-443c-9fa5-3cb82c2c593b,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0030,eafbd6c5-a363-4416-b3a3-66c6c70dae13,America/New_York,11:00,20:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0031,7f0c4c76-e4bf-41e1-9c6b-e0a74ae65cf3,America/Los_Angeles,11:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0032,646f8ff2-3188-4725-be94-38c8ec3b1a05,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0033,7fc94924-76ed-43cc-9acf-5fcb216b7bfe,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0035,61cb8c26-fc79-4d2b-859a-8fcddcdd0c55,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0037,156401d3-0a27-437b-bba0-943302a5a2be,America/Chicago,11:00,20:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
0041,ade71eb5-e937-483a-9a8b-23e89d1a63d9,America/Los_Angeles,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0042,7362a497-188e-42eb-9145-ee600cc8b933,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0043,a9e4256e-17aa-4425-a522-ee2e3df20f7b,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0045,2418389e-4521-47be-91a8-9e37f465a79b,America/Chicago,10:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0046,495552ce-2000-422f-ba72-fcf51ec47731,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0048,892465de-dbd3-48b9-8866-baf617f94634,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0049,f463dc1e-c32e-418c-940a-9f20b7a9feef,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0050,469958d2-7dd0-4051-b047-e9b66e38dcac,America/New_York,,,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0052,6e01519c-7e4c-46f5-af1d-aaf2e16c8436,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0053,286c4464-f2ff-446c-a79b-c0fc1b06fc91,America/New_York,12:30,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0054,34201491-6c0d-4eca-b6ea-75496ea2d75d,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0055,799608ff-25e7-4a75-a1e4-f4977b553654,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0059,7a2038b6-6366-4c1e-b10e-47eec1de7577,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0060,d32a3984-3f50-4704-94c6-f73d6b2d3db9,America/Indiana/Indianapolis,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0061,2872840f-b5f9-4118-b037-21f30919c8b2,America/New_York,11:00,19:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0062,5217e35d-de86-4246-83aa-bb8d343ad5b2,America/Denver,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0064,c27529f8-42dc-4238-b456-4bee1f685962,America/Boise,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0065,4dcdaee4-2a98-4eb9-88a7-146677fe39d5,America/New_York,11:00,21:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0068,cf4343f8-8e82-4905-8a87-bb5a28b37a56,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0069,a14fd79d-4779-46d1-8f21-a8dd07cb9895,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0072,9e63d144-56f0-4d1b-aa73-c24a12b924ca,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0073,084c6790-c966-444b-99b5-69dd0e0fc521,America/New_York,11:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0074,a80ef00a-61a5-4f56-89de-a1aa23992257,America/New_York,,,10:00,22:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0075,8e04d820-91f3-4fb1-aab2-672a947645f5,America/New_York,11:00,20:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0076,a56cfd49-6594-44d6-8297-c53d24782d24,America/New_York,12:00,20:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0077,d14853dc-60d6-4bc8-9075-5532674b3065,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0078,ba228c82-bd31-4715-8fa9-e0be18a8398b,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0079,2949d086-bf98-4cf4-b956-7d96cb3ffe5d,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0080,e9a7affb-c411-44ec-879c-24531679eee9,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0081,649d65ce-8eaa-40da-a654-1b898dd316c9,America/Indiana/Indianapolis,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0082,fdfb169b-6dfd-47a3-9698-3c89053e3f7b,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0083,6cfafd02-1b15-42ac-aadd-939aed8ac62f,America/Denver,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0085,a78e98e3-365c-45e8-9e4a-f2f3269c8a1c,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0087,3f455504-51ff-45bb-8daa-838086331477,America/Chicago,12:30,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0091,fe1798b4-1d4f-4bad-abdb-d85574e7846e,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0092,b8f1aeed-0311-4903-9609-cd802e115067,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
