Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
1,09:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
2,09:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
3,09:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
4,09:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
5,09:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
6,09:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
7,10:00:00,20:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/5c6454c2-3fb8-47d2-935a-2c729dac5441
1,10:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
2,10:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
3,10:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
4,10:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
5,10:00:00,21:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
6,10:00:00,20:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
7,11:00:00,18:00:00,true,America/New_York,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0cadc991-f769-430b-b5a5-018f05d014b7
1,10:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
2,10:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
3,10:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
4,10:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
5,10:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
6,10:00:00,21:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
7,11:00:00,18:00:00,true,America/Chicago,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/b6a609d7-787d-43a2-9757-6dcbd49d1e54
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
6,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
7,11:00:00,20:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/622f9911-d35e-4ad7-86b2-378eb17cbe78
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/d41ae953-5ba6-40f8-92dc-0779e31d36f8
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/d41ae953-5ba6-40f8-92dc-0779e31d36f8
