number,feature_ids
0001,
0003,
0005,[1006]
0008,[1006]
0009,[1006]
0012,[1006]
0013,[1006]
0014,[1006]
0015,[1006]
0016,"[1006, 1005]"
0017,
0018,[1005]
0019,[1006]
0020,
0021,
0022,
0023,
0024,
0025,[1006]
0026,
0027,[1006]
0028,
0030,[1005]
0031,[1006]
0032,
0033,
0035,[1006]
0037,[1006]
0041,[1005]
0042,[1006]
0043,
0045,
0046,
0048,
0049,
0050,
0052,[1006]
0053,
0054,[1005]
0055,
0059,
0060,[1006]
0061,
0062,
0064,[1006]
0065,"[1006, 1005]"
0068,[1005]
0069,[1005]
0072,[1006]
0073,"[1006, 1005]"
0074,[1005]
0075,[1006]
0076,[1006]
0077,[1006]
0078,
0079,
0080,
0081,[1006]
0082,
0083,
0085,
0087,[1006]
0091,[1006]
0092,
0093,
0094,
0095,[1006]
0096,[1006]
0098,
0099,[1006]
0100,"[1006, 1005]"
0102,
0103,
0104,[1006]
0106,[1006]
0107,
0108,[1006]
0109,[1006]
0111,
0112,
0114,
0115,[1006]
0117,[1006]
0119,
0120,"[1006, 1005]"
0121,[1006]
0124,[1006]
0125,
0130,"[1006, 1005]"
0133,
0136,
0138,
0139,[1006]
0140,
0141,
0142,[1006]
0146,
0147,
0149,[1006]
0152,
0153,[1005]
0154,[1006]
0156,[1006]
0158,
0159,"[1006, 1005]"
0160,"[1006, 1005]"
0162,
0164,
0165,"[1006, 1005]"
0166,[1006]
0167,[1006]
0169,
0170,"[1006, 1005]"
0171,"[1006, 1005]"
0173,
0174,
0175,[1006]
0176,
0177,
0178,[1006]
0179,
0180,[1005]
0182,[1006]
0183,
0184,"[1006, 1005]"
0185,[1006]
0186,[1006]
0188,
0189,
0190,[1006]
0195,
0196,[1006]
0198,[1006]
0199,[1006]
0200,
0201,"[1006, 1005]"
0202,
0203,
0204,"[1006, 1005]"
0205,[1006]
0206,[1005]
0208,
0209,
0210,[1006]
0211,
0212,"[1006, 1005]"
0213,"[1006, 1005]"
0214,[1006]
0216,[1006]
0217,
0218,"[1006, 1005]"
0219,
0220,"[1006, 1005]"
0221,
0222,[1006]
0224,
0225,[1006]
0226,
0228,[1006]
0229,[1006]
0231,
0233,[1005]
0234,[1006]
0235,[1005]
0238,[1006]
0240,[1006]
0241,
0242,
0244,[1006]
0245,[1006]
0246,[1006]
0247,[1006]
0248,
0250,[1006]
0252,
0257,
0259,[1006]
0260,[1006]
0261,
0262,[1006]
0265,[1006]
0267,[1006]
0268,
0269,[1006]
0271,[1006]
0273,[1006]
0274,[1006]
0276,[1006]
0277,
0279,
0281,[1006]
0282,[1006]
0283,
0284,
0285,
0286,[1006]
0287,[1005]
0288,
0289,[1006]
0291,
0292,[1006]
0293,
0294,[1005]
0295,
0296,[1006]
0297,
0300,
0301,
