Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
1,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
2,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
3,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
4,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
5,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
6,11:00:00,20:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/2b545cf8-a7b6-413b-8d1b-2fe974e14289
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
1,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
2,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
3,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
4,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
5,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
6,11:00:00,20:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/df918ad9-9160-4d4a-9306-7a6de3af7f14
7,12:00:00,18:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/f75f48be-e7e5-4e81-b42e-64b988a5377f
1,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/f75f48be-e7e5-4e81-b42e-64b988a5377f
2,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/f75f48be-e7e5-4e81-b42e-64b988a5377f
3,11:00:00,21:00:00,true,America/Los_Angeles,/organizations/e2c8b0ce-5bc0-4f8f-aaaa-c6fe216084b0/locations/0406c4a3-98da-43c5-9303-ce2a5b8474e8/services/f75f48be-e7e5-4e81-b42e-64b988a5377f
