number,feature_ids
0001,
0003,
0005,[687]
0008,[687]
0009,[687]
0012,[687]
0013,[687]
0014,[687]
0015,[687]
0016,"[687, 688]"
0017,
0018,[688]
0019,[687]
0020,
0021,
0022,
0023,
0024,
0025,[687]
0026,
0027,[687]
0028,
0030,[688]
0031,[687]
0032,
0033,
0035,[687]
0037,[687]
0041,[688]
0042,[687]
0043,
0045,
0046,
0048,
0049,
0050,
0052,[687]
0053,
0054,[688]
0055,
0059,
0060,[687]
0061,
0062,
0064,[687]
0065,"[687, 688]"
0068,[688]
0069,[688]
0072,[687]
0073,"[687, 688]"
0074,[688]
0075,[687]
0076,[687]
0077,[687]
0078,
0079,
0080,
0081,[687]
0082,
0083,
0085,
0087,[687]
0091,[687]
0092,
0093,
0094,
0095,[687]
0096,[687]
0098,
0099,[687]
0100,"[687, 688]"
0102,
0103,
0104,[687]
0106,[687]
0107,
0108,[687]
0109,[687]
0111,
0112,
0114,
0115,[687]
0117,[687]
0119,
0120,"[687, 688]"
0121,[687]
0124,[687]
0125,
0130,"[687, 688]"
0133,
0136,
0138,
0139,[687]
0140,
0141,
0142,[687]
0146,
0147,
0149,[687]
0152,
0153,[688]
0154,[687]
0156,[687]
0158,
0159,"[687, 688]"
0160,"[687, 688]"
0162,
0164,
0165,"[687, 688]"
0166,[687]
0167,[687]
0169,
0170,"[687, 688]"
0171,"[687, 688]"
0173,
0174,
0175,[687]
0176,
0177,
0178,[687]
0179,
0180,[688]
0182,[687]
0183,
0184,"[687, 688]"
0185,[687]
0186,[687]
0188,
0189,
0190,[687]
0195,
0196,[687]
0198,[687]
0199,[687]
0200,
0201,"[687, 688]"
0202,
0203,
0204,"[687, 688]"
0205,[687]
0206,[688]
0208,
0209,
0210,[687]
0211,
0212,"[687, 688]"
0213,"[687, 688]"
0214,[687]
0216,[687]
0217,
0218,"[687, 688]"
0219,
0220,"[687, 688]"
0221,
0222,[687]
0224,
0225,[687]
0226,
0228,[687]
0229,[687]
0231,
0233,[688]
0234,[687]
0235,[688]
0238,[687]
0240,[687]
0241,
0242,
0244,[687]
0245,[687]
0246,[687]
0247,[687]
0248,
0250,[687]
0252,
0257,
0259,[687]
0260,[687]
0261,
0262,[687]
0265,[687]
0267,[687]
0268,
0269,[687]
0271,[687]
0273,[687]
0274,[687]
0276,[687]
0277,
0279,
0281,[687]
0282,[687]
0283,
0284,
0285,
0286,[687]
0287,[688]
0288,
0289,[687]
0291,
0292,[687]
0293,
0294,[688]
0295,
0296,[687]
0297,
0300,
0301,
0302,
0305,
0308,[688]
0310,[687]
0312,[687]
0313,[687]
0314,[687]
0317,
0319,
0323,[687]
0327,
0328,[687]
0330,
0331,
0332,
0333,[687]
0334,
0338,[687]
0339,
0342,
0343,[687]
0344,
0346,
0348,
0350,[687]
