Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
4,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
2,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
3,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
5,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
1,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
6,10:00:00,18:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
7,12:00:00,19:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/2364cb31-13c6-4833-81b1-4541cfb1d7bc
4,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/acd05257-196e-4bd1-8143-994f061363af
2,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/acd05257-196e-4bd1-8143-994f061363af
3,09:00:00,16:00:00,true,America/New_York,/organizations/956f4ad8-f3e5-4605-8185-d7357c3df9e9/locations/e9f6b07d-3641-4df0-ada2-765a93b6dd88/services/acd05257-196e-4bd1-8143-994f061363af
