id,service_id,store_id,appointments_enabled,associate_required,store_service_image,allow_anonymous,private,hidden_from_reporting,created_at,updated_at,nextgen_uri,set_custom_capacity,override_store_capacity,total_capacity,capacity_type,online_capacity_pct,online_capacity,waitlist,required_lead_time,book_with,auto_confirm_appt_requests,allow_associate_selection,store_capacity,organization_nextgen_id,custom_email_copy
16563,978,29058,true,true,,,false,false,2018-09-07T16:56:02.772Z,2018-09-10T16:49:42.452Z,/locations/2f6426a1-641b-4190-b3a1-6f600dec8b61/services/847c4ccf-2c5f-4edd-9425-1a7bef8018f9,,,,dynamic,1,,,,Associate,false,true,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
16564,979,29058,true,false,,,false,false,2018-09-07T16:56:05.869Z,2018-10-04T16:19:04.544Z,/locations/2f6426a1-641b-4190-b3a1-6f600dec8b61/services/7da109ef-1769-4c2e-9e02-9212bb5f8336,true,,,unlimited,1,,,,Store,false,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13149,886,28897,true,false,,,false,false,2018-05-02T19:11:40.845Z,2018-06-11T18:19:59.390Z,/locations/583d4dbb-da96-4bc2-ae31-b642d69b2be2/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13180,886,28928,true,false,,,false,false,2018-05-02T19:11:47.713Z,2018-06-11T18:26:10.362Z,/locations/11bfacbe-acb4-4c2e-b326-adb41cc9e775/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13194,886,28942,true,false,,,false,false,2018-05-02T19:11:50.809Z,2018-06-11T18:27:36.984Z,/locations/ef19933e-edd5-41b6-b0b0-657ab342bdb7/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13247,886,29028,true,false,,,false,false,2018-05-02T19:12:03.384Z,2018-06-11T18:36:15.385Z,/locations/108330cd-b966-48d1-a9f8-970bf8119124/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13200,886,28948,true,false,,,false,false,2018-05-02T19:11:52.285Z,2018-06-11T18:28:39.778Z,/locations/5a17c04c-8585-411c-b52a-35ba19b211d6/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,true,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13252,886,29032,true,false,,,false,false,2018-05-02T19:12:04.480Z,2018-06-11T18:35:17.374Z,/locations/ed2168e9-5e15-40cf-a255-5eeeeed258e1/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13129,886,28856,true,false,,,false,false,2018-05-02T19:11:36.368Z,2018-06-11T18:17:48.615Z,/locations/b8514c94-1237-4db4-9e44-82c28e2ffd0c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13211,886,28959,true,false,,,false,false,2018-05-02T19:11:54.777Z,2018-06-11T18:30:20.707Z,/locations/8302432e-bf3b-465a-a51f-1af9ed94a03c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13254,886,29034,true,false,,,false,false,2018-05-02T19:12:04.907Z,2018-06-11T18:35:07.011Z,/locations/84452237-1b95-46ce-b4d2-923cbc84fcf2/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13091,886,28818,true,false,,,false,false,2018-05-02T19:11:27.311Z,2018-06-11T18:11:14.534Z,/locations/120318a8-adeb-4d85-91fd-02991761abc4/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13195,886,28943,true,false,,,false,false,2018-05-02T19:11:51.000Z,2018-06-11T18:27:42.531Z,/locations/ec5d3699-b939-49b5-9543-fb45d51af7b6/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13092,886,28819,true,false,,,false,false,2018-05-02T19:11:27.550Z,2018-06-11T18:11:20.653Z,/locations/0c4802ef-7abc-4e71-bd8b-67aaf2278293/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13219,886,29000,true,false,,,false,false,2018-05-02T19:11:56.661Z,2018-06-11T18:31:32.883Z,/locations/1d202395-f6fc-481b-9174-0947f7bd0ede/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13253,886,29033,true,false,,,false,false,2018-05-02T19:12:04.709Z,2018-06-11T18:35:11.975Z,/locations/8f5eaee6-29c6-44c8-9955-d30b6f1ca231/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13259,886,29039,true,false,,,false,false,2018-05-02T19:12:06.066Z,2018-06-11T18:34:39.507Z,/locations/9fbaf95e-14d7-4479-a965-5411bcdc4abd/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13235,886,29016,true,false,,,false,false,2018-05-02T19:12:00.277Z,2018-06-11T18:33:11.139Z,/locations/65ca777b-5c64-4439-ae78-146a171a686f/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13198,886,28946,true,false,,,false,false,2018-05-02T19:11:51.737Z,2018-06-11T18:28:01.499Z,/locations/9dd41b94-6341-4ef6-9e0e-b70b14861018/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
