id,supported,custom,reactMapping,momentMapping,legacyMapping
at/en,true,true,en-AT,en,en_US
auto_tst,true,true,fr-FR,fr,fr_FR
ca/fr-CA,true,true,fr-CA,fr-ca,fr_FR
oops,true,true,en-US,en,en_US
cn/zh-cn,true,true,zh-CN,zh-cn,zh_CN
at/en-AT,true,true,en-AT,nl-be,en_GB
ae/en-AE,true,true,en-AE,en,en_GB
ar/es-AR,true,true,es-AR,ar,es_ES
at/de-AT,true,true,de-AT,de-at,de_DE
be/nl-BE,true,true,nl-BE,nl-be,nl_NL
be/de-BE,true,true,de-BE,nl-be,de_DE
be/en-BE,true,true,en-BE,be,en_GB
be/fr-BE,true,true,fr-BE,be,fr_FR
bg/en-BG,true,true,en-BG,bg,en_GB
br/pt-BR,true,true,pt-BR,pt-br,pt_BR
ca/en-CA,true,true,en-CA,en-ca,en_GB
ch/de-CH,true,true,de-CH,de-ch,de_DE
ch/en-CH,true,true,en-CH,en,en_GB
ch/fr-CH,true,true,fr-CH,fr-ch,fr_FR
ch/it-CH,true,true,it-CH,it,it_IT
cl/es-CL,true,true,es-CL,es,es_ES
cz/cs-CZ,true,true,cs-CZ,cs,cs_CZ
cz/en-CZ,true,true,en-CZ,en,en_GB
de/de-DE,true,true,de-DE,de,de_DE
dk/da-DK,true,true,da-DK,da,da_DK
dk/en-DK,true,true,en-DK,en,en_GB
eg/en-EG,true,true,en-EG,en,en_GB
es/es-ES,true,true,es-ES,es,es_ES
es/ca-ES,true,true,ca-ES,es,en_CA
gb/en-GB,true,true,en-GB,en-gb,en_GB
fi/en-FI,true,true,en-FI,fi,en_GB
fr/fr-FR,true,true,fr-FR,fr,fr_FR
gr/el-GR,true,true,el-GR,el,el_GR
hk/en-HK,true,true,en-HK,en,en_GB
hr/en-HR,true,true,en-HR,hr,en_GB
hu/hu-HU,true,true,hu-HU,hu,hu_HU
hu/en-HU,true,true,en-HU,hu,en_GB
id/en-ID,true,true,en-ID,id,en_GB
ie/en-IE,true,true,en-IE,en-ie,en_GB
il/en-IL,true,true,en-IL,en-il,en_GB
in/en-IN,true,true,en-IN,en,en_GB
it/it-IT,true,true,it-IT,it,it_IT
jp/ja-JP,true,true,ja-JP,ja,ja_JP
kr/ko-KR,true,true,ko-KR,ko,ko_KR
lu/fr-LU,true,true,fr-LU,fr,fr_FR
lu/de-LU,true,true,de-LU,de,de_DE
lu/en-LU,true,true,en-LU,en,en_GB
ma/fr-MA,true,true,fr-MA,fr,fr_FR
ma/en-MA,true,true,en-MA,en,en_GB
mx/es-MX,true,true,es-MX,es,es_ES
my/en-MY,true,true,en-MY,my,en_GB
ng/en-NG,true,true,en-NG,en,en_GB
nl/nl-NL,true,true,nl-NL,nl,nl_NL
nl/en-NL,true,true,en-NL,nl,en_GB
no/no-NO,true,true,no-NO,en,no_NO
no/en-NO,true,true,en-NO,en,en_GB
nz/en-NZ,true,true,en-NZ,en-nz,en_GB
ph/en-PH,true,true,en-PH,tl-ph,en_GB
pl/pl-PL,true,true,pl-PL,pl,pl_PL
pr/es-PR,true,true,es-PR,es,es_ES
pt/pt-PT,true,true,pt-PT,pt,pt_PT
pt/en-PT,true,true,en-PT,pt,en_GB
ro/en-RO,true,true,en-RO,ro,en_GB
ru/ru-RU,true,true,ru-RU,ru,ru_RU
sa/en-SA,true,true,en-SA,en,en_GB
se/sv-SE,true,true,sv-SE,sv,sv_SE
se/en-SE,true,true,en-SE,se,en_GB
sg/en-SG,true,true,en-SG,en,en_GB
si/en-SI,true,true,en-SI,si,en_GB
sk/en-SK,true,true,en-SK,sk,en_GB
th/th-TH,true,true,th-TH,th,th_TH
tr/tr-TR,true,true,tr-TR,tr,tr_TR
tw/zh-Hant-TW,true,true,zh-TW,zh-tw,zh_CN
us/en-US,true,true,en-US,en,en_US
uy/es-UY,true,true,es-UY,es,es_ES
vn/en-VN,true,true,en-VN,en,en_GB
za/en-ZA,true,true,en-ZA,en,en_GB
au/en-AU,true,true,en-AU,en-au,en_GB
cn/zh-Ha,true,true,zh,zh-cn,zh_CN
