locale,layoutId
us/en-US,b1b54f67-3d1f-4302-baec-cca77b2fc164
fr/fr-FR,ccab0dfb-cb3d-4695-ac07-e1a29d70f46f
ae/en-AE,e5ccb524-476f-45f2-9dc3-78b803b59662
at/en-AT,f7a4a100-ae88-497d-8c94-6941aca4d963
at/de-AT,a1d0f1a9-f0f1-4cea-a607-6964fa71db72
au/en-AU,23eb31ee-9aa2-4887-8f9c-204e708f5fe8
be/nl-BE,06c7be3f-7354-4697-8e27-06c3968cb915
be/en-BE,44708cbb-72d8-46d1-9eea-373384eb3361
be/fr-BE,071beba2-9765-4a4b-b44a-387273069281
bg/en-BG,3a79b1de-a730-4ac2-ba6e-b081041f28ab
ca/en-CA,1804c4c8-cc6b-4100-9cc2-29f08a5aed5d
ca/fr-CA,2a3db83c-ab26-4b75-b46c-cca34517aa26
be/de-BE,bbde4e48-2858-4d19-b586-9d90b36c8de2
ch/de-CH,fe6fa2b1-358e-4924-a5c0-b73222eb6667
ch/en-CH,6eafa47b-cd44-4bcb-a2f8-576bac781047
ch/fr-CH,8bf2246a-7cc8-4cdb-a145-0883c9c5b7c2
ch/it-CH,03342973-3714-4541-9914-e46491d2daef
cl/es-CL,d1c00bce-4e33-4efc-9e1d-e1662a25fbe8
de/de-DE,210f49ab-630d-41d3-8a42-94c76a48ad9c
cz/cs-CZ,ce44c905-8235-433c-a95f-78175b3294f5
dk/da-DK,1078ca39-e7f9-47f9-865f-d06d6095edf3
cz/en-CZ,f2a4c052-731e-47e5-86b2-83b6594ee3f4
dk/en-DK,273455b1-30d8-44d2-a2b0-1307979d9a64
eg/en-EG,b2c6afb2-ac3f-4244-b3c4-fe02a3cfbca6
es/es-ES,0f514390-f884-4aa0-8bb6-9d229d0c4f63
es/ca-ES,73526231-95da-4d47-b793-1a23276b922b
gb/en-GB,0c110ed8-014b-45fe-858d-5b5031566bd7
fi/en-FI,5f7fe1e7-7317-4c64-8521-1f9b67c70417
fr/fr-FR,e66868b5-496b-4ecf-90de-ba27e5af66fb
gr/el-GR,b3ebd658-b192-4c15-af35-a0eb83f41de9
hr/en-HR,284e59a3-e7d0-4a65-8c6c-a6893f359323
hu/hu-HU,a7f93a16-a2b1-4474-9de3-02be2053f310
hu/en-HU,6956571e-9d95-4445-b158-750e464ccf36
id/en-ID,ca231495-a57c-4bda-9180-f5f989ce9e1e
ie/en-IE,3a309d81-c1da-4a1d-929e-df3df9368b4a
il/en-IL,9b6d5e3e-abd6-4540-93b6-69c3cc1ec53a
in/en-IN,2ebe6c6f-6cbc-414b-a4be-f7a74f081d15
it/it-IT,8a1af03d-b2a3-46d5-896d-3cdded0199ab
jp/ja-JP,4f06d4a2-43b1-49f5-98b0-ca4d6c35a9b3
lu/fr-LU,77a2ab96-09ec-43da-889b-813f51c381ea
lu/de-LU,a0c344f0-7cb1-454b-a2d2-996381e00c9b
lu/en-LU,2c945009-031f-40b3-b1ed-823210172671
ma/fr-MA,eae10062-7eb2-4380-92b3-3cb0f9ed6f96
ma/en-MA,165177e0-70d0-4276-8efc-2e3b5bc0c610
mx/es-MX,4e242fd8-7322-4afd-8a6a-db65ad3b1470
my/en-MY,ac1635f5-a8c1-4eda-b5fe-fa9f5ca96108
nl/nl-NL,01933e72-9b96-41c2-942b-7299fa77b9bd
no/no-NO,e0a74503-07a2-44f8-be24-65eba8693ca8
nl/en-NL,e53e3574-8e56-4c42-8a99-2613ede2d3ca
nz/en-NZ,33dd43ae-7bcc-4365-bb0c-41403c8eb139
no/en-NO,7a57fcc5-3754-4032-965a-abba01fb8e48
pl/pl-PL,4f977dd9-b7f9-4c9b-995b-9ff260eb5ead
pr/es-PR,8731c695-1064-4491-a74f-f7c33a406d00
pt/pt-PT,951f9954-5901-41bf-b7a9-83163578e410
pt/en-PT,4937fec6-7cdb-40b1-98da-3e1eea23fabf
ro/en-RO,0bf69507-e7d1-4ea2-8bc5-2aa285a0e5b4
ru/ru-RU,cfa3aed3-5c89-4c6a-915f-f05e918a754e
sa/en-SA,3f9a8b96-ddfa-4bbe-b17b-7b84530bfdcd
se/sv-SE,7265a2df-6af1-4693-95ae-95b13107c10b
se/en-SE,9ba10f8a-9d72-4f1a-ac84-5e503f729bf5
sg/en-SG,33a7b1f7-591e-4e80-8b05-5b992ec85338
si/en-SI,bbafcadb-22b8-4883-8b63-e37e6ecfffa6
sk/en-SK,30fe9874-7590-4d80-8741-bec9bab8e2d4
tr/tr-TR,f991d03f-a809-49de-ac45-e581288666f1
th/th-TH,2eda12e1-c05c-4b13-8c90-c540c950afda
us/en-US,f111cee0-699b-41a8-8a00-68943b7991d0
za/en-ZA,1de09e31-43c5-4ee5-9470-f6c8e308596f
vn/en-VN,c6889c88-be67-4aaf-9680-99c550e714c8
