id,supported,custom,reactMapping,momentMapping,legacyMapping
cn,true,true,zh,zh-cn,zh_CN
au,true,true,en-AU,en-au,en_GB
xl,true,true,es-ES,es,es_LA
za,true,true,en-ZA,en,en_GB
vn,true,true,en-VN,en,en_GB
uy,true,true,es-UY,es,es_ES
us,true,true,en-US,en,en_US
tw,true,true,zh-TW,zh-tw,zh_CN
tr,true,true,tr-TR,tr,tr_TR
th,true,true,th-TH,th,th_TH
sk,true,true,en-SK,sk,en_GB
si,true,true,en-SI,si,en_GB
sg,true,true,en-SG,en,en_GB
se/en,true,true,en-SE,se,en_GB
se,true,true,sv-SE,sv,sv_SE
sa,true,true,en-SA,en,en_GB
ru,true,true,ru-RU,ru,ru_RU
ro,true,true,en-RO,ro,en_GB
pt/en,true,true,en-PT,pt,en_GB
pt,true,true,pt-PT,pt,pt_PT
pr,true,true,es-PR,es,es_ES
pl,true,true,pl-PL,pl,pl_PL
ph,true,true,en-PH,tl-ph,en_GB
nz,true,true,en-NZ,en-nz,en_GB
no/en,true,true,en-NO,en,en_GB
no,true,true,no-NO,en,no_NO
nl/en,true,true,en-NL,nl,en_GB
nl,true,true,nl-NL,nl,nl_NL
my,true,true,en-MY,my,en_GB
mx,true,true,es-MX,es,es_ES
ma/en,true,true,en-MA,en,en_GB
ma,true,true,fr-MA,fr,fr_FR
lu/en,true,true,en-LU,en,en_GB
lu/de,true,true,de-LU,de,de_DE
lu,true,true,fr-LU,fr,fr_FR
jp,true,true,ja-JP,ja,ja_JP
it,true,true,it-IT,it,it_IT
in,true,true,en-IN,en,en_GB
il,true,true,en-IL,en-il,en_GB
ie,true,true,en-IE,en-ie,en_GB
id,true,true,en-ID,id,en_GB
hu/en,true,true,en-HU,hu,en_GB
hu,true,true,hu-HU,hu,hu_HU
hr,true,true,en-HR,hr,en_GB
gr,true,true,el-GR,el,el_GR
fr,true,true,fr-FR,fr,fr_FR
fi,true,true,en-FI,fi,en_GB
gb,true,true,en-GB,en-gb,en_GB
es/ca,true,true,ca-ES,es,en_CA
es,true,true,es-ES,es,es_ES
eg,true,true,en-EG,en,en_GB
dk/en,true,true,en-DK,en,en_GB
dk,true,true,da-DK,da,da_DK
de,true,true,de-DE,de,de_DE
cz/en,true,true,en-CZ,en,en_GB
cz,true,true,cs-CZ,cs,cs_CZ
cl,true,true,es-CL,es,es_ES
ch/it,true,true,it-CH,it,it_IT
ch/fr,true,true,fr-CH,fr-ch,fr_FR
ch/en,true,true,en-CH,en,en_GB
ch,true,true,de-CH,de-ch,de_DE
ca/fr,true,true,fr-CA,fr-ca,fr_FR
ca,true,true,en-CA,en-ca,en_GB
bg,true,true,en-BG,bg,en_GB
be/fr,true,true,fr-BE,be,fr_FR
be/en,true,true,en-BE,be,en_GB
be/de,true,true,de-BE,nl-be,de_DE
be,true,true,nl-BE,nl-be,nl_NL
at,true,true,de-AT,de-at,de_DE
ar,true,true,es-ES,es,es_ES
ae,true,true,en-AE,en,en_GB
ru_RU,true,false,ru-RU,ru,ru_RU
en_US,true,false,en-US,en,en_US
