Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
7,11:00:00,18:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
5,10:00:00,21:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
4,10:00:00,20:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
1,10:00:00,20:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
6,10:00:00,21:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
3,10:00:00,18:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
2,10:00:00,20:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/0d35a0da-1312-4757-a550-a73ca46b5569
7,11:00:00,18:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
5,10:00:00,21:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
4,10:00:00,20:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
1,10:00:00,20:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
6,10:00:00,21:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
3,10:00:00,18:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
2,10:00:00,20:00:00,true,America/Phoenix,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/c39fe4ba-5adb-4e5d-9be2-60485685d892/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
1,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
2,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
3,12:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
4,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
5,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
6,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
7,12:00:00,18:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/0d35a0da-1312-4757-a550-a73ca46b5569
1,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
2,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
3,12:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
4,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
5,10:00:00,20:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
6,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
7,12:00:00,18:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/07915662-7dbf-4bba-aaa3-ec90592f19b3/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
1,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
2,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
3,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
4,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
5,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
6,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
7,12:00:00,18:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/0d35a0da-1312-4757-a550-a73ca46b5569
1,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
2,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
3,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
4,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
5,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
6,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
7,12:00:00,18:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/7e227309-0bc0-46ad-9046-ed02f9a5480f/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
1,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
2,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
3,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
4,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
5,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
6,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
7,11:00:00,18:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
1,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
2,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
3,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
4,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
5,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
6,10:00:00,21:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
7,11:00:00,18:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/f64efcd1-3c89-43eb-ba32-e2714e3d464d/services/0d35a0da-1312-4757-a550-a73ca46b5569
1,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
2,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
3,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
4,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
5,10:00:00,21:30:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
6,10:00:00,21:30:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
7,11:00:00,19:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/0d35a0da-1312-4757-a550-a73ca46b5569
1,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
2,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
3,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
4,10:00:00,21:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
5,10:00:00,21:30:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
6,10:00:00,21:30:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
7,11:00:00,19:00:00,true,America/New_York,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/ceab9a63-f388-4a24-b5e1-3e185014c632/services/d5bd1b50-5993-4ede-97be-9934bf897d8f
