Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
2,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/58871f09-3a15-4115-a14a-8dab114c7387
3,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/58871f09-3a15-4115-a14a-8dab114c7387
5,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/58871f09-3a15-4115-a14a-8dab114c7387
4,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/58871f09-3a15-4115-a14a-8dab114c7387
1,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/58871f09-3a15-4115-a14a-8dab114c7387
6,12:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/58871f09-3a15-4115-a14a-8dab114c7387
2,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
3,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
5,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
4,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
1,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
6,12:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
2,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
3,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
5,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
4,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
1,11:00:00,17:30:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
6,12:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/b72dfb52-e577-4ea5-a938-2882cd5b289a/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
7,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
1,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
2,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
3,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
4,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
5,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
6,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/58871f09-3a15-4115-a14a-8dab114c7387
7,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
1,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
2,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
3,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
4,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
5,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
6,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
7,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
1,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
2,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
3,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
4,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
5,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
6,11:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/2af43810-33cb-4350-ae41-436fba16ff4e/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
7,10:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
1,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
3,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
2,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
5,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
4,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
6,10:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/58871f09-3a15-4115-a14a-8dab114c7387
7,10:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
1,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
3,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
2,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
5,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
4,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
6,10:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/dedfcd42-6292-4294-88b7-28e2fa4eaf58
7,10:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
1,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
3,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
2,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
5,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
4,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
6,10:00:00,17:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/945c4916-9572-41ed-81b9-7b856a68b8f3/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
6,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
1,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
4,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
5,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
3,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
2,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
7,10:00:00,19:00:00,true,America/Chicago,/organizations/38ee6078-63c8-41f5-a62f-4d1e920ea6b8/locations/1c124e9f-738f-4631-b50d-9406544c73ef/services/88feaaed-4685-473f-b4c4-19f02afd5fbe
