Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
1,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
2,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
3,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
4,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
5,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
6,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
7,11:00:00,18:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/d49214a5-b924-4536-b9bf-519857a2037e
1,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
2,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
3,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
4,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
5,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
6,10:00:00,21:30:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
7,11:00:00,18:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3857fe01-3427-43de-8ca5-4f842f6c9487/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
1,10:00:00,20:00:00,true,America/Los_Angeles,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/28e39422-0c2b-4e79-bc5d-eda2a20a3372/services/ec9cb7d2-776e-4d1c-a92a-d4bc5f134c2a
