Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
6,10:00:00,20:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
4,09:00:00,22:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
5,09:00:00,22:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
7,09:00:00,22:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
3,09:00:00,22:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
1,09:00:00,22:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
2,09:00:00,22:00:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/867829be-5c83-4e6e-91b7-b49e45bbfcab
1,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
4,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
2,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
7,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
3,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
6,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
5,00:00:00,23:45:00,true,America/New_York,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/3c97345d-ec37-49a4-b224-d0c2a85a6d0b
7,10:00:00,19:00:00,true,America/Puerto_Rico,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/ff197b40-9c45-48ed-87fa-45147eed4faf
1,10:00:00,19:00:00,true,America/Puerto_Rico,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/ff197b40-9c45-48ed-87fa-45147eed4faf
2,10:00:00,19:00:00,true,America/Puerto_Rico,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/ff197b40-9c45-48ed-87fa-45147eed4faf
3,10:00:00,19:00:00,true,America/Puerto_Rico,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/ff197b40-9c45-48ed-87fa-45147eed4faf
4,10:00:00,21:00:00,true,America/Puerto_Rico,/organizations/eab8d42b-bfaf-4df7-94e3-075fe659989b/locations/ff197b40-9c45-48ed-87fa-45147eed4faf
