Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
3,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
5,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
1,10:00:00,18:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
6,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
7,12:00:00,18:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
2,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
4,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/c0bd73d5-ed82-4301-b348-235b1f094e36
3,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
5,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
1,10:00:00,18:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
6,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
7,12:00:00,18:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
2,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
4,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/5e615294-71f1-47ab-8d5e-161a5aef10d0/services/a129e911-6a6a-4835-887a-77329d6e9813
1,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
2,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
3,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
4,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
5,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
6,10:00:00,20:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
7,11:00:00,18:30:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/a129e911-6a6a-4835-887a-77329d6e9813
1,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
2,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
3,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
4,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
5,10:00:00,21:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
6,10:00:00,20:00:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
7,11:00:00,18:30:00,true,America/Phoenix,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/7c858fca-3523-4526-9628-546e90cec12e/services/c0bd73d5-ed82-4301-b348-235b1f094e36
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
7,10:00:00,18:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/a129e911-6a6a-4835-887a-77329d6e9813
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
7,10:00:00,18:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/dcb5b17a-8c71-41ce-baea-3f38093ca462/services/c0bd73d5-ed82-4301-b348-235b1f094e36
1,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
2,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
3,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
4,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
5,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
6,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
7,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/a129e911-6a6a-4835-887a-77329d6e9813
1,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
2,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
3,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
4,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
5,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
6,10:00:00,21:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
7,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/31c0cf58-faef-4870-97d2-dc6e48c72149/services/c0bd73d5-ed82-4301-b348-235b1f094e36
1,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
2,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
3,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
4,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
5,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
6,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
7,11:00:00,18:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/a129e911-6a6a-4835-887a-77329d6e9813
1,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
2,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
3,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
4,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
5,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
6,09:30:00,21:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
7,11:00:00,18:00:00,true,America/Los_Angeles,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/645d76e6-9c6e-48f7-b34b-b3cf0c0cdef7/services/c0bd73d5-ed82-4301-b348-235b1f094e36
1,10:00:00,21:00:00,true,America/Kentucky/Louisville,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/f4873fe1-e95c-44ed-bbd1-b74ff349d44c/services/a129e911-6a6a-4835-887a-77329d6e9813
2,10:00:00,21:00:00,true,America/Kentucky/Louisville,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/f4873fe1-e95c-44ed-bbd1-b74ff349d44c/services/a129e911-6a6a-4835-887a-77329d6e9813
3,10:00:00,21:00:00,true,America/Kentucky/Louisville,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/f4873fe1-e95c-44ed-bbd1-b74ff349d44c/services/a129e911-6a6a-4835-887a-77329d6e9813
