Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
7,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
1,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
2,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
3,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
4,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
5,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
6,12:00:00,18:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/138bdfbb-8076-4c83-8cc3-3cdb991e8467
7,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/9435ffec-08d0-4982-a50e-71dfac972fd6
1,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/9435ffec-08d0-4982-a50e-71dfac972fd6
2,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/9435ffec-08d0-4982-a50e-71dfac972fd6
3,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/9435ffec-08d0-4982-a50e-71dfac972fd6
4,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/9435ffec-08d0-4982-a50e-71dfac972fd6
5,10:00:00,19:00:00,true,America/New_York,/organizations/f2b25275-020e-4836-a928-3e3d187907b5/locations/592ba71d-3e26-4916-bcb0-99a7a89a12cf/services/9435ffec-08d0-4982-a50e-71dfac972fd6
