Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
1,10:00:00,21:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
2,10:00:00,21:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
3,10:00:00,21:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
4,10:00:00,21:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
5,10:00:00,21:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
6,10:00:00,21:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
7,11:00:00,18:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/94e83c1a-3dce-466b-acaf-5f9db29747fc/services/3ef59064-0e94-41fb-a963-f4db10b62df9
1,10:00:00,19:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/a4933de2-0454-4103-a410-9b35423be0ab/services/3ef59064-0e94-41fb-a963-f4db10b62df9
2,10:00:00,19:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/a4933de2-0454-4103-a410-9b35423be0ab/services/3ef59064-0e94-41fb-a963-f4db10b62df9
3,10:00:00,19:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/a4933de2-0454-4103-a410-9b35423be0ab/services/3ef59064-0e94-41fb-a963-f4db10b62df9
4,10:00:00,19:00:00,true,America/New_York,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/a4933de2-0454-4103-a410-9b35423be0ab/services/3ef59064-0e94-41fb-a963-f4db10b62df9
