Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
6,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
7,11:00:00,19:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/ff535655-ac2b-4d1d-b96b-0252ff026f95
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/08fdc1ff-54f7-4676-81c3-8436bd9b9689
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/08fdc1ff-54f7-4676-81c3-8436bd9b9689
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723/services/08fdc1ff-54f7-4676-81c3-8436bd9b9689
