Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
6,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
7,11:00:00,19:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ab915b90-695d-402a-a827-e930dc344723
1,10:00:00,21:00:00,true,America/Chicago,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/8d9a1132-8e83-41c5-a86e-0614160931b4
2,10:00:00,21:00:00,true,America/Chicago,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/8d9a1132-8e83-41c5-a86e-0614160931b4
5,10:00:00,21:00:00,true,America/Chicago,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/8d9a1132-8e83-41c5-a86e-0614160931b4
6,09:00:00,21:00:00,true,America/Chicago,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/8d9a1132-8e83-41c5-a86e-0614160931b4
3,10:00:00,21:00:00,true,America/Chicago,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/8d9a1132-8e83-41c5-a86e-0614160931b4
4,10:00:00,21:00:00,true,America/Chicago,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/8d9a1132-8e83-41c5-a86e-0614160931b4
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
7,11:00:00,19:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
6,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/46528a68-01ea-4216-830e-448fcf3c4691
6,10:00:00,20:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
4,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
2,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
3,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
1,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
5,10:00:00,21:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
7,11:00:00,06:30:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/ea07817e-2001-4110-b3bc-15d6e3cdec69
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/61dead73-9819-4843-8cbd-ffb8b39967d3
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/61dead73-9819-4843-8cbd-ffb8b39967d3
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/61dead73-9819-4843-8cbd-ffb8b39967d3
7,11:00:00,18:00:00,true,America/Los_Angeles,/organizations/33989e22-15de-4cb9-a8dc-a21d895b358a/locations/61dead73-9819-4843-8cbd-ffb8b39967d3
