Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
3,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
6,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
4,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
5,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
2,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
1,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
7,09:00:00,17:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/c7c66794-e492-46ca-876d-e24ab3eacaa7
3,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/72d319c3-a8c6-4f0a-8d0c-0d2d8cc26e5b
6,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/72d319c3-a8c6-4f0a-8d0c-0d2d8cc26e5b
4,09:00:00,19:00:00,true,Europe/London,/organizations/b34e1094-6c7d-4d1c-aa4a-9e94bacdb7ce/locations/252b2e8a-707f-45b6-9b5f-81236a4d1935/services/72d319c3-a8c6-4f0a-8d0c-0d2d8cc26e5b
