number,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
44E,11:00,17:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,21:00,9:00,17:00
44F,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,21:00,10:00,21:00,10:00,19:00
44G,10:00,16:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,21:00,9:00,17:30,9:00,17:00
44H,9:30,21:00,9:30,19:00,9:30,18:00,10:00,18:00,9:30,18:00,9:30,18:00,9:30,18:00
44Y,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,20:00,10:00,18:00,10:00,18:00
44X,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00
Z01,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
Z02,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
BE460,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00
D81,10:00,0:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,0:00
CA001,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:30,21:00
CA002,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:30,21:00
CA003,10:00,19:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,9:30,21:30
CA004,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:30,21:00
CA005,11:00,19:00,10:00,19:00,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,20:00
CA006,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,22:00,10:00,22:00
CA007,11:00,18:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,19:00
CA008,11:00,19:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
CA009,10:00,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:00,17:00
CA020,10:00,19:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,19:00
CA021,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:30,21:00
CA022,11:00,19:00,11:00,19:00,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,20:00
C01,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C02,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C05,9:00,21:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,21:00
C06,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C08,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C30,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C40,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
C50,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C60,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C80,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
DE002,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,21:00,9:30,20:00
DE004,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE006,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE010,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
DE020,,,11:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:30,20:00
DE021,,,10;00,20;00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE022,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:30,20:00
DE023,,,10:00,20;00,10;00,20;00,10;00,20;00,10;00,20;00,10;00,20;00,10;00,20;00
DE024,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE025,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:30,20:00
DE026,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,22:00,10:00,20:00,9:30,20:00
DE027,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE050,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE070,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
DE100,,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00
Y01,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00
Y02,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00
ES001,11:00,20:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30
ES002,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES003,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES004,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES005,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES006,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES007,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES008,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES009,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES010,,,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30
ES011,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES013,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES014,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES015,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES017,,,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES019,,,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
ES020,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES021,,,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
ES022,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES023,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES024,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES025,,,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
ES026,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES029,,,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
ES030,,,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30,9:30,21:30
ES031,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES053,11:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES054,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES055,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES056,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
ES200,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
ES201,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,22:00
FR411,12:30,19:30,11:00,19:30,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00
FR414,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00
FR416,10:00,20:00,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30
FR417,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
FR431,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR433,11:00,19:00,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30
FR435,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR437,12:00,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR439,11:00,19:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR444,11:00,19:00,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30
FR445,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR446,11:00,19:00,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30
FR447,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR450,11:00,19:00,9:35,20:00,9:35,20:00,9:35,20:00,9:35,20:45,9:35,20:00,9:35,20:00
GB206,11:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,9:00,19:00
GB207,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB211,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,19:00
GB212,11:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,9:00,18:00
GB215,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,20:00,9:00,18:00,9:00,18:00
GB219,12:00,18:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,10:00,19:00
GB223,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB225,10:00,17:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,20:00,10:00,18:00,10:00,19:00
GB227,11:00,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:00,20:00
GB228,13:00,18:00,9:30,18:00,9:30,18:00,9:30,21:00,9:30,21:00,9:30,21:00,9:00,18:00
GB230,12:00,18:00,10:30,19:30,10:30,19:30,10:30,19:30,10:30,19:30,10:30,19:30,10:00,19:00
GB232,12:00,18:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,21:00
GB233,11:00,17:00,9:30,18:00,9:30,18:00,9:30,18:00,9:30,19:00,9:30,19:00,9:30,19:00
GB237,11:00,17:00,9:30,18:00,9:30,18:00,9:30,18:00,9:30,18:00,9:30,18:00,9:30,18:00
GB238,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,19:00
GB239,11:00,17:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00
GB240,12:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
GB241,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB242,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB243,11:00,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:00,21:00
GB244,11:00,17:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,9:30,18:00
GB245,11:00,17:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00
GB246,4:00,21:30,4:00,21:30,4:00,21:30,4:00,21:30,4:00,21:30,4:00,21:30,4:00,21:30
GB247,11:30,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
GB248,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00
GB249,,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,10:00,18:00
GB250,11:00,17:00,9:00,18:00,9:00,18:00,9:00,20:00,9:00,18:00,9:00,18:00,9:00,19:00
GB253,11:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00
GB254,12:00,18:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
GB256,11:00,18:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,21:00
GB258,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00
GB259,11:00,18:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,9:00,18:00
GB260,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
GB263,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00
GB264,4:00,21:00,4:00,21:00,4:00,21:00,4:00,21:00,4:00,21:00,4:00,21:00,4:00,21:00
GB265,11:00,17:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:00,19:00
GB267,5:45,22:00,5:45,22:00,5:45,22:00,5:45,22:00,5:45,22:00,5:45,22:00,5:45,22:00
GB268,11:00,17:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB270,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00
GB272,11:00,17:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB276,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00,4:00,22:00
GB277,10:00,17:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,19:00
GB278,9:00,19:00,7:30,21:00,7:30,21:00,7:30,21:00,7:30,21:00,7:30,21:00,8:00,21:00
GB279,11:00,19:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,9:00,20:00
GB301,11:30,18:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
GB302,11:00,18:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,21:00
GB305,11:00,17:30,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB306,11:00,17:30,10:00,20:00,10:00,20:00,10:00,20:00,10:00,21:00,10:00,21:00,9:00,21:00
GB311,11:00,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:00,20:00
GB312,11:00,17:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,19:00,9:00,19:00
GB314,11:00,17:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,19:00
GB316,12:00,18:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,20:00,9:30,19:00,10:00,19:00
GB317,10:30,16:30,9:00,17:30,9:00,17:30,9:30,17:30,9:00,17:30,9:00,17:30,9:00,18:00
GB318,10:30,17:00,9:30,18:00,9:30,18:00,9:30,18:00,9:30,19:00,9:00,18:30,9:00,18:30
GB319,11:00,17:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:00,19:00
GB335,11:00,17:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,20:00,9:00,19:00,9:00,20:00
GB336,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,20:00,9:00,17:30,9:00,18:00
GB337,13:00,18:00,9:30,19:00,9:30,19:00,9:30,21:00,9:30,21:00,9:30,21:00,9:00,19:00
GB338,10:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,20:00,9:00,19:00,9:00,19:00
GB339,10:30,17:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,20:00,9:30,20:00,9:00,19:00
GB341,11:00,18:00,9:30,18:30,9:30,18:30,9:30,18:30,9:30,20:00,9:30,19:00,9:00,19:00
GB320,10:30,17:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,19:00,9:00,18:00,9:00,18:00
GB321,12:00,18:30,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00,9:30,21:00
GB322,11:00,17:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00,9:00,18:00,9:00,18:00
GB323,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00
GB324,10:30,17:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,20:00
GB327,11:00,17:00,9:00,18:00,9:00,18:00,9:00,19:30,9:00,18:00,9:00,18:00,9:00,19:00
GB329,,,10:00,19:00,10:00,19:00,10:00,19:00,10:00,20:00,10:00,19:00,10:00,18:00
GB325,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00,9:00,18:00
GB326,10:30,17:00,9:30,18:00,9:30,18:00,9:30,18:00,9:00,20:00,9:30,18:00,9:00,19:00
GB329,12:00,18:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
GB330,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00
GB332,11:00,18:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,20:00,9:30,19:00,9:00,19:00
GB333,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,19:00,9:00,18:00,9:00,18:00
GB334,10:30,17:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00,9:00,18:00,9:00,18:00
GB340,10:30,17:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,9:00,21:00
GB342,11:00,17:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,19:00,9:00,19:00
GB345,10:30,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,9:00,21:00
GB349,10:30,17:00,10:00,18:30,10:00,18:30,10:00,18:30,10:00,20:30,10:00,19:00,9:00,19:00
GB350,10:30,17:00,9:30,18:00,9:30,18:00,9:30,18:00,9:30,21:00,9:30,18:30,9:00,19:00
GB353,10:30,17:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,20:00,9:00,20:00,9:00,19:00
GB370,10:30,17:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,19:00
GB371,11:30,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:30,20:00
GB372,10:30,16:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,19:00,9:00,18:00,9:00,18:00
GB375,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,20:00,9:00,17:30,9:00,18:00
GB376,11:00,17:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00,9:00,18:00
GB377,10:30,17:00,9:00,17:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,18:00,9:00,18:00
GB381,11:00,17:00,9:30,19:00,9:30,19:00,9:30,19:00,9:30,20:00,9:30,19:00,9:00,19:00
GB384,11:30,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
TGR01,10:00,17:00,9:00,18:30,9:00,18:30,9:00,18:30,9:00,19:30,9:00,19:30,9:00,18:00
TGR02,,,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30,10:00,17:00
TGR03,10:00,18:00,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30
TGR04,10:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,9:00,18:00
TGR05,10:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,9:00,18:00
TGR06,10:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,9:00,18:00
TGR07,10:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,9:00,18:00
TGR08,10:00,18:00,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30,9:00,18:30
TGR09,10:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,9:00,18:00
TGR10,,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,10:00,18:00
TGR11,10:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:30,9:00,19:00,9:00,18:00
TGR12,12:00,17:30,9:00,19:30,9:00,19:30,9:00,19:30,9:00,19:30,9:00,19:30,10:00,18:30
TGR13,12:00,17:30,9:00,19:30,9:00,19:30,9:00,19:30,9:00,19:30,9:00,19:30,10:00,18:30
TBS01,,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,11:00,18:00
GB901,11:00,17:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,19:00
GB902,12:00,18:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,21:00,9:30,20:00,9:30,20:00
GB903,12:00,18:00,9:30,19:00,9:30,19:00,9:30,20:00,9:30,19:00,9:30,19:00,9:30,19:00
GB904,10:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,20:00,9:00,18:00,9:00,18:30
GB905,10:30,16:30,9:00,17:30,9:00,17:30,9:00,17:30,9:00,20:00,9:00,20:00,8:30,18:00
GB906,12:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:30,19:00
