number,feature_ids
N40,"[1007,1009]"
FR450,"[1007,1009]"
N80,"[1007,1009]"
CA003,"[1008,1007,1009,1010]"
CA005,"[1008,1007,1009,1010]"
CA009,"[1008,1007,1009,1010]"
GB211,"[1008,1007,1009,1010]"
GB215,"[1008,1007,1009,1010]"
GB239,"[1008,1007,1009,1010]"
GB240,"[1008,1007,1009,1010]"
GB259,"[1008,1007,1009,1010]"
GB302,"[1008,1007,1009,1010]"
US687,"[1008,1007,1009,1010]"
US688,"[1008,1007,1009,1010]"
US694,"[1008,1007,1009,1010]"
US695,"[1008,1007,1009,1010]"
US701,"[1008,1007,1009,1010]"
US707,"[1008,1007,1009,1010]"
US708,"[1008,1007,1009,1010]"
US709,"[1008,1007,1009,1010]"
US714,"[1008,1007,1009,1010]"
US717,"[1008,1007,1009,1010]"
US720,"[1008,1007,1009,1010]"
US728,"[1008,1007,1009,1010]"
US729,"[1008,1007,1009,1010]"
US764,"[1008,1007,1009,1010]"
X01,"[1008,1007,1009,1010]"
44H,"[1008,1007,1009,1010]"
C06,"[1008,1007,1009,1010]"
ES013,"[1008,1007,1009,1010]"
ES201,"[1008,1007,1009,1010]"
ES200,"[1008,1007,1009,1010]"
FR414,"[1008,1007,1009,1010]"
FR411,"[1008,1007,1009,1010]"
IE422,"[1008,1007,1009,1010]"
GB244,"[1008,1007,1009,1012,1010]"
US692,"[1008,1007,1009,1012,1010]"
US703,"[1008,1007,1009,1012,1010]"
BE460,"[1008,1007,1009,1012,1010]"
NL031,"[1008,1007,1009,1012,1010]"
NL030,"[1008,1007,1009,1012,1010]"
UA002,"[1008,1007,1009,1012]"
CA001,"[1008,1007,1009]"
CA002,"[1008,1007,1009]"
CA004,"[1008,1007,1009]"
CA006,"[1008,1007,1009]"
CA007,"[1008,1007,1009]"
CA008,"[1008,1007,1009]"
GB206,"[1008,1007,1009]"
GB223,"[1008,1007,1009]"
GB227,"[1008,1007,1009]"
GB228,"[1008,1007,1009]"
GB237,"[1008,1007,1009]"
GB241,"[1008,1007,1009]"
GB243,"[1008,1007,1009]"
GB249,"[1008,1007,1009]"
GB250,"[1008,1007,1009]"
GB253,"[1008,1007,1009]"
GB268,"[1008,1007,1009]"
GB277,"[1008,1007,1009]"
GB305,"[1008,1007,1009]"
GB306,"[1008,1007,1009]"
GB350,"[1008,1007,1009]"
GB370,"[1008,1007,1009]"
GB371,"[1008,1007,1009]"
US685,"[1008,1007,1009]"
US686,"[1008,1007,1009]"
US689,"[1008,1007,1009]"
US691,"[1008,1007,1009]"
US693,"[1008,1007,1009]"
US696,"[1008,1007,1009]"
US697,"[1008,1007,1009]"
US698,"[1008,1007,1009]"
US699,"[1008,1007,1009]"
US702,"[1008,1007,1009]"
US706,"[1008,1007,1009]"
US711,"[1008,1007,1009]"
US712,"[1008,1007,1009]"
US713,"[1008,1007,1009]"
US715,"[1008,1007,1009]"
US718,"[1008,1007,1009]"
US721,"[1008,1007,1009]"
US722,"[1008,1007,1009]"
US723,"[1008,1007,1009]"
US724,"[1008,1007,1009]"
US725,"[1008,1007,1009]"
US730,"[1008,1007,1009]"
US738,"[1008,1007,1009]"
US742,"[1008,1007,1009]"
US743,"[1008,1007,1009]"
US744,"[1008,1007,1009]"
US745,"[1008,1007,1009]"
US746,"[1008,1007,1009]"
US747,"[1008,1007,1009]"
US750,"[1008,1007,1009]"
US752,"[1008,1007,1009]"
US754,"[1008,1007,1009]"
US756,"[1008,1007,1009]"
US758,"[1008,1007,1009]"
US760,"[1008,1007,1009]"
US762,"[1008,1007,1009]"
US766,"[1008,1007,1009]"
US768,"[1008,1007,1009]"
US770,"[1008,1007,1009]"
US772,"[1008,1007,1009]"
US775,"[1008,1007,1009]"
US776,"[1008,1007,1009]"
US779,"[1008,1007,1009]"
44X,"[1008,1007,1009]"
44E,"[1008,1007,1009]"
ZX002,"[1008,1007,1009]"
44Y,"[1008,1007,1009]"
44G,"[1008,1007,1009]"
ZX001,"[1008,1007,1009]"
E10,"[1008,1007,1009]"
X27,"[1008,1007,1009]"
X03,"[1008,1007,1009]"
A88,"[1008,1007,1009]"
A89,"[1008,1007,1009]"
A99,"[1008,1007,1009]"
A98,"[1008,1007,1009]"
A90,"[1008,1007,1009]"
C60,"[1008,1007,1009]"
ES008,"[1008,1007,1009]"
ES054,"[1008,1007,1009]"
ES009,"[1008,1007,1009]"
PT002,"[1008,1007,1009]"
ES001,"[1008,1007,1009]"
ES024,"[1008,1007,1009]"
ES019,"[1008,1007,1009]"
FR416,"[1008,1007,1009]"
STUA001,"[1008,1007,1009]"
DE100,"[1008,1007,1009]"
NZ001,"[1008,1007,1009]"
US684,"[1008,1007,1009]"
I01,"[1008,1007,1009]"
GB238,"[1008,1007,1010]"
GB242,"[1008,1007,1010]"
GB246,"[1008,1007,1010]"
GB248,"[1008,1007,1010]"
GB254,"[1008,1007,1010]"
GB267,"[1008,1007,1010]"
GB270,"[1008,1007,1010]"
GB276,"[1008,1007,1010]"
GB278,"[1008,1007,1010]"
GB279,"[1008,1007,1010]"
US719,"[1008,1007,1010]"
DE020,"[1008,1007,1010]"
DE021,"[1008,1007,1010]"
IE310,"[1008,1007,1010]"
